                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.99938,                0.85869,                 1.3184,                0.82013,                0.68579,                0.76897,                0.54414,                 1.0991,                0.89319,                 1.2919,               0.007756,               0.007756,               0.007756
                     37,                0.98711,                0.84911,                  1.315,                0.82056,                 0.6848,                0.76882,                 0.5457,                 1.0978,                0.88454,                 1.2933,                0.00769,                0.00769,                0.00769
                     38,                0.98834,                0.83561,                 1.3118,                0.82082,                   0.69,                0.77178,                0.54769,                 1.0941,                0.88474,                 1.2901,               0.007624,               0.007624,               0.007624
                     39,                0.98416,                0.83498,                 1.3075,                0.81715,                0.70341,                0.77918,                0.55221,                 1.0927,                0.85956,                 1.2869,               0.007558,               0.007558,               0.007558
                     40,                0.97089,                0.82063,                 1.3031,                0.83196,                 0.6968,                0.78098,                0.55481,                 1.0919,                0.87012,                 1.2865,               0.007492,               0.007492,               0.007492
                     41,                0.97203,                0.81952,                 1.2949,                0.82562,                0.69718,                0.77701,                0.55393,                 1.0892,                0.85692,                 1.2853,               0.007426,               0.007426,               0.007426
                     42,                0.96397,                0.80608,                 1.2943,                0.82496,                0.70137,                0.77987,                0.55569,                 1.0866,                0.85072,                 1.2814,                0.00736,                0.00736,                0.00736
                     43,                0.96954,                0.79096,                 1.2928,                0.83351,                0.70747,                0.78696,                0.56062,                 1.0833,                0.84298,                 1.2792,               0.007294,               0.007294,               0.007294
                     44,                0.96742,                0.79242,                 1.2903,                 0.8225,                 0.7144,                0.78658,                0.56201,                 1.0818,                0.83553,                 1.2774,               0.007228,               0.007228,               0.007228
                     45,                0.96287,                0.80183,                  1.295,                0.82531,                0.71564,                 0.7909,                0.56533,                 1.0793,                0.83401,                 1.2753,               0.007162,               0.007162,               0.007162
                     46,                0.95994,                0.78271,                  1.289,                0.83936,                0.71312,                0.79516,                0.56958,                 1.0784,                0.82737,                  1.275,               0.007096,               0.007096,               0.007096
                     47,                0.94962,                0.77641,                 1.2799,                0.83443,                0.71965,                0.79714,                0.57242,                 1.0757,                0.82953,                 1.2728,                0.00703,                0.00703,                0.00703
                     48,                0.94821,                0.77381,                 1.2802,                0.83424,                0.72187,                0.80037,                0.57441,                 1.0719,                0.81693,                 1.2704,               0.006964,               0.006964,               0.006964
                     49,                 0.9445,                0.75899,                 1.2711,                0.82867,                0.72019,                0.79781,                0.57355,                 1.0698,                 0.8283,                   1.27,               0.006898,               0.006898,               0.006898
                     50,                0.94503,                0.76362,                 1.2742,                0.83019,                 0.7246,                0.79944,                 0.5747,                 1.0696,                0.82164,                 1.2696,               0.006832,               0.006832,               0.006832
                     51,                0.94065,                0.75018,                 1.2721,                0.83304,                0.72885,                0.80399,                0.57793,                 1.0696,                0.80826,                 1.2683,               0.006766,               0.006766,               0.006766
                     52,                0.94168,                0.74718,                 1.2718,                0.83387,                0.72873,                 0.8046,                0.57878,                 1.0683,                0.81393,                 1.2674,                 0.0067,                 0.0067,                 0.0067
                     53,                0.93909,                0.74003,                 1.2666,                0.83598,                0.72904,                0.80592,                0.57946,                 1.0666,                 0.8032,                 1.2672,               0.006634,               0.006634,               0.006634
                     54,                 0.9372,                0.73797,                 1.2674,                0.84145,                0.72478,                0.80621,                0.58007,                 1.0653,                0.80641,                 1.2666,               0.006568,               0.006568,               0.006568
                     55,                0.92878,                0.72473,                 1.2572,                0.84071,                0.72846,                0.80714,                0.58221,                 1.0626,                0.79997,                 1.2627,               0.006502,               0.006502,               0.006502
                     56,                0.92611,                0.72488,                 1.2557,                0.83986,                 0.7302,                0.80779,                0.58343,                 1.0631,                0.79587,                  1.263,               0.006436,               0.006436,               0.006436
                     57,                0.92125,                0.71944,                 1.2545,                 0.8439,                0.72603,                0.80788,                0.58363,                 1.0624,                0.79922,                  1.264,                0.00637,                0.00637,                0.00637
                     58,                0.91207,                 0.7079,                 1.2507,                0.83939,                0.72791,                0.80818,                0.58448,                 1.0622,                0.79959,                 1.2649,               0.006304,               0.006304,               0.006304
                     59,                0.92318,                0.71407,                  1.257,                0.83805,                0.73116,                0.80957,                 0.5853,                 1.0612,                0.79265,                 1.2648,               0.006238,               0.006238,               0.006238
                     60,                0.90954,                0.71104,                 1.2489,                0.83961,                0.73627,                0.81168,                 0.5866,                 1.0596,                0.79074,                 1.2639,               0.006172,               0.006172,               0.006172
                     61,                0.91582,                0.70615,                 1.2461,                0.84015,                0.73667,                0.81164,                0.58784,                 1.0585,                0.78833,                 1.2623,               0.006106,               0.006106,               0.006106
