                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3404,                 1.0477,                  1.498,                0.59289,                 0.5481,                0.56359,                0.35178,                 1.3228,                 1.0089,                 1.4783,               0.007822,               0.007822,               0.007822
                     36,                  1.345,                 1.0608,                 1.4892,                0.61662,                0.53973,                0.56958,                0.35577,                 1.3251,                 1.0145,                 1.4783,               0.007756,               0.007756,               0.007756
                     37,                 1.3386,                 1.0517,                 1.4942,                0.59619,                0.54777,                0.56355,                0.35249,                 1.3244,                 1.0119,                 1.4771,                0.00769,                0.00769,                0.00769
                     38,                 1.3341,                 1.0474,                 1.4937,                0.60717,                 0.5457,                0.56878,                0.35726,                 1.3195,                 1.0086,                 1.4748,               0.007624,               0.007624,               0.007624
                     39,                 1.3332,                 1.0408,                  1.489,                0.60259,                0.54405,                0.56414,                0.35311,                 1.3224,                 1.0099,                 1.4738,               0.007558,               0.007558,               0.007558
                     40,                 1.3374,                 1.0384,                 1.4917,                0.61744,                0.54938,                 0.5735,                0.35933,                 1.3161,                 1.0039,                 1.4733,               0.007492,               0.007492,               0.007492
                     41,                 1.3287,                 1.0206,                 1.4841,                0.62167,                0.55691,                0.57956,                0.36457,                 1.3138,                0.99025,                 1.4701,               0.007426,               0.007426,               0.007426
                     42,                 1.3245,                 1.0304,                 1.4861,                0.61041,                0.56065,                0.57951,                0.36469,                 1.3129,                0.99167,                 1.4689,                0.00736,                0.00736,                0.00736
                     43,                 1.3267,                 1.0209,                 1.4849,                0.61592,                0.55256,                0.57912,                0.36558,                 1.3102,                0.99225,                  1.467,               0.007294,               0.007294,               0.007294
                     44,                 1.3244,                  1.019,                 1.4846,                0.61265,                0.56863,                0.58363,                0.36639,                 1.3099,                0.97957,                 1.4647,               0.007228,               0.007228,               0.007228
                     45,                 1.3298,                 1.0112,                 1.4788,                0.61377,                0.55965,                0.57965,                0.36518,                  1.309,                0.98283,                 1.4622,               0.007162,               0.007162,               0.007162
                     46,                 1.3181,                 1.0002,                 1.4774,                0.61958,                0.56146,                0.58725,                0.36906,                 1.3112,                0.97598,                 1.4678,               0.007096,               0.007096,               0.007096
                     47,                 1.3207,                0.99704,                 1.4781,                0.61439,                0.56487,                0.58443,                0.36891,                 1.3113,                0.97747,                 1.4648,                0.00703,                0.00703,                0.00703
                     48,                 1.3245,                0.99892,                 1.4725,                 0.6192,                0.55922,                0.58473,                 0.3688,                 1.3039,                0.97687,                  1.463,               0.006964,               0.006964,               0.006964
                     49,                 1.3111,                0.98638,                 1.4787,                0.61783,                0.56297,                0.58621,                0.37122,                 1.3053,                0.97417,                 1.4632,               0.006898,               0.006898,               0.006898
                     50,                 1.3179,                0.98447,                 1.4752,                0.62266,                0.57203,                0.59279,                0.37525,                 1.3031,                0.96216,                   1.46,               0.006832,               0.006832,               0.006832
                     51,                 1.3118,                0.98324,                 1.4718,                0.63228,                0.56357,                0.59194,                0.37462,                 1.3043,                 0.9632,                 1.4606,               0.006766,               0.006766,               0.006766
                     52,                 1.3127,                0.98993,                 1.4715,                0.62196,                0.56659,                0.59126,                 0.3734,                 1.3026,                0.96181,                 1.4616,                 0.0067,                 0.0067,                 0.0067
                     53,                 1.3025,                0.97285,                  1.468,                 0.6289,                0.56353,                0.59347,                0.37518,                 1.3011,                0.95617,                 1.4596,               0.006634,               0.006634,               0.006634
                     54,                  1.303,                0.97143,                 1.4629,                0.62591,                0.56221,                0.59134,                0.37401,                 1.3004,                 0.9558,                 1.4582,               0.006568,               0.006568,               0.006568
                     55,                    1.3,                0.96812,                 1.4634,                0.62859,                0.56568,                0.59547,                0.37694,                 1.2981,                0.95275,                 1.4559,               0.006502,               0.006502,               0.006502
                     56,                 1.3012,                0.96182,                 1.4684,                0.63374,                0.56889,                0.59616,                0.37851,                  1.297,                0.94995,                 1.4545,               0.006436,               0.006436,               0.006436
                     57,                 1.2987,                0.95417,                  1.467,                0.63639,                0.57348,                0.59789,                0.37819,                 1.2973,                0.94666,                 1.4555,                0.00637,                0.00637,                0.00637
                     58,                 1.2927,                0.94981,                 1.4632,                0.63111,                0.57131,                0.59863,                0.38032,                  1.295,                0.93953,                 1.4517,               0.006304,               0.006304,               0.006304
                     59,                 1.2906,                0.94718,                 1.4611,                0.63288,                0.57453,                0.59896,                0.37843,                 1.2933,                0.94148,                 1.4555,               0.006238,               0.006238,               0.006238
                     60,                 1.2966,                  0.945,                 1.4598,                0.63794,                0.57707,                0.60102,                0.38037,                 1.2954,                0.93959,                 1.4541,               0.006172,               0.006172,               0.006172
                     61,                 1.2937,                0.94257,                 1.4577,                0.63907,                0.56851,                0.60094,                0.38028,                 1.2926,                0.93856,                 1.4522,               0.006106,               0.006106,               0.006106
                     62,                 1.2918,                0.93776,                 1.4601,                0.63558,                0.57943,                0.60193,                0.38165,                 1.2941,                0.93856,                 1.4511,                0.00604,                0.00604,                0.00604
                     63,                 1.2875,                0.93565,                 1.4544,                0.64617,                0.57139,                0.60263,                0.38324,                 1.2943,                0.93759,                 1.4503,               0.005974,               0.005974,               0.005974
                     64,                 1.2871,                0.93153,                  1.451,                0.63949,                 0.5752,                0.60329,                0.38397,                 1.2913,                 0.9345,                 1.4481,               0.005908,               0.005908,               0.005908
                     65,                 1.2741,                0.91928,                 1.4463,                0.64527,                0.57629,                0.60429,                0.38458,                 1.2923,                0.93096,                 1.4484,               0.005842,               0.005842,               0.005842
                     66,                 1.2798,                0.92249,                  1.451,                0.64358,                0.57832,                 0.6057,                0.38587,                 1.2907,                0.93379,                 1.4491,               0.005776,               0.005776,               0.005776
                     67,                 1.2732,                 0.9115,                  1.445,                0.64416,                0.57506,                0.60897,                0.38736,                 1.2911,                0.93049,                 1.4502,                0.00571,                0.00571,                0.00571
                     68,                 1.2792,                0.91235,                 1.4525,                0.64133,                0.58077,                0.60652,                0.38507,                 1.2918,                0.93078,                  1.451,               0.005644,               0.005644,               0.005644
                     69,                 1.2688,                0.90299,                 1.4442,                0.64508,                0.58075,                 0.6066,                0.38546,                 1.2906,                0.92537,                 1.4484,               0.005578,               0.005578,               0.005578
                     70,                  1.269,                0.89966,                 1.4399,                0.65557,                0.56972,                0.60879,                0.38738,                 1.2881,                0.92338,                 1.4463,               0.005512,               0.005512,               0.005512
                     71,                 1.2722,                0.90651,                 1.4416,                0.64981,                0.57256,                0.60767,                0.38722,                 1.2869,                0.92068,                 1.4453,               0.005446,               0.005446,               0.005446
                     72,                 1.2735,                0.91072,                 1.4441,                0.65534,                0.57665,                0.61013,                0.38838,                  1.288,                0.92235,                 1.4459,                0.00538,                0.00538,                0.00538
                     73,                 1.2725,                0.90322,                 1.4436,                0.65376,                0.58035,                0.61187,                0.38963,                 1.2871,                0.92395,                 1.4442,               0.005314,               0.005314,               0.005314
                     74,                 1.2653,                0.89281,                 1.4391,                 0.6499,                0.58195,                0.61247,                0.39066,                 1.2859,                0.92048,                 1.4435,               0.005248,               0.005248,               0.005248
                     75,                 1.2585,                0.88462,                 1.4351,                0.65443,                0.58096,                0.61209,                0.39029,                 1.2859,                0.91757,                 1.4447,               0.005182,               0.005182,               0.005182
                     76,                 1.2612,                0.88544,                 1.4331,                0.65271,                0.57869,                0.61165,                0.39023,                 1.2852,                0.91832,                 1.4434,               0.005116,               0.005116,               0.005116
                     77,                 1.2601,                0.88263,                 1.4264,                0.64428,                 0.5873,                0.61283,                0.39127,                 1.2872,                0.91732,                  1.444,                0.00505,                0.00505,                0.00505
                     78,                  1.261,                0.88217,                 1.4314,                 0.6498,                0.58155,                 0.6136,                0.39146,                 1.2885,                0.91669,                 1.4466,               0.004984,               0.004984,               0.004984
                     79,                 1.2546,                0.88259,                 1.4318,                0.65134,                0.58056,                0.61343,                 0.3911,                 1.2864,                0.91382,                 1.4451,               0.004918,               0.004918,               0.004918
                     80,                 1.2513,                0.87244,                 1.4316,                0.65858,                 0.5788,                0.61545,                0.39195,                 1.2869,                0.91083,                 1.4451,               0.004852,               0.004852,               0.004852
                     81,                 1.2501,                 0.8684,                 1.4255,                0.66317,                0.57481,                0.61227,                0.39046,                 1.2868,                0.91135,                 1.4457,               0.004786,               0.004786,               0.004786
                     82,                  1.247,                0.86797,                 1.4326,                0.65563,                0.57998,                0.61599,                0.39231,                 1.2858,                0.91371,                 1.4433,                0.00472,                0.00472,                0.00472
